0,1,2,3,4,5,6
76238,52,52,0.0,248,247,100.0
76398,52,52,-90.0,249,248,100.0
76553,52,52,-32.0,250,249,100.0
76738,52,52,-16.0,251,250,56.0
76947,52,52,0.0,252,251,56.0
77255,52,52,0.0,253,252,56.0
77373,52,52,0.0,254,253,56.0
77485,52,52,-16.0,255,254,56.0
77710,52,52,-19.0,256,255,56.0
77838,52,52,0.0,257,256,56.0
78010,53,52,75.0,257,257,-38.0
78195,53,53,-26.0,258,257,100.0
78339,53,53,-32.0,259,259,100.0
78527,53,53,-16.0,260,259,100.0
78721,53,53,0.0,261,260,100.0
78924,53,53,-22.0,262,261,78.0
79037,53,53,0.0,263,262,78.0
79168,54,53,100.0,263,263,-18.0
79276,54,54,-22.0,264,263,100.0
79481,54,54,0.0,265,265,78.0
79628,54,54,-19.0,266,265,34.0
79777,54,54,-22.0,267,266,34.0
79900,54,54,-20.0,268,267,34.0
79968,55,54,100.0,268,268,-10.0
80078,55,55,-22.0,269,268,56.0
80277,56,55,75.0,269,269,-29.0
80363,56,56,-20.0,270,269,100.0
80458,56,56,-15.0,271,270,100.0
80647,56,56,0.0,272,271,100.0
80817,56,56,-13.0,273,272,78.0
80934,57,56,100.0,273,273,-10.0
81125,57,57,0.0,274,273,56.0
81232,57,57,0.0,275,274,56.0
81397,57,57,-16.0,276,276,56.0
81511,57,57,-53.0,277,276,56.0
81605,57,57,0.0,278,277,56.0
81730,58,57,14.0,278,278,-46.0
81836,58,58,-11.0,279,278,100.0
81928,58,58,-19.0,280,279,78.0
82110,58,58,-19.0,281,280,34.0
82269,58,58,0.0,282,281,34.0
82485,58,58,0.0,283,282,34.0
82749,58,58,-7.0,284,283,34.0
82958,58,58,-39.0,285,284,12.0
83121,58,58,-4.0,286,285,12.0
83292,58,58,0.0,287,286,12.0
83454,59,58,100.0,287,287,-10.0
83569,59,59,-10.0,288,287,100.0
83827,59,59,-45.0,289,288,59.0
84083,59,59,0.0,290,289,37.0
84345,59,59,0.0,291,290,15.0
84450,59,59,-39.0,292,291,15.0
84574,59,59,-10.0,293,292,15.0
84814,59,59,0.0,294,293,15.0
85027,59,59,-1.0,295,294,15.0
85113,60,59,100.0,295,295,-7.0
85476,60,60,0.0,296,295,78.0
85629,60,60,0.0,297,296,78.0
85763,61,60,75.0,297,297,-10.0
85883,61,61,0.0,298,297,100.0
86115,61,61,-51.0,299,298,34.0
86283,61,61,0.0,300,299,12.0
86374,62,61,100.0,300,300,-36.0
86543,62,62,-14.0,301,300,100.0
86755,62,62,0.0,302,301,100.0
86851,62,62,-3.0,303,302,100.0
87019,62,62,0.0,304,303,100.0
87251,62,62,-32.0,305,304,100.0
87365,62,62,-4.0,306,305,100.0
87466,62,62,-4.0,307,306,100.0
87598,62,62,0.0,308,307,30.0
87744,63,62,75.0,308,308,-8.0
87922,63,63,-17.0,309,308,100.0
88174,63,63,0.0,310,309,50.0
88385,64,63,50.0,310,310,-23.0
88488,64,64,0.0,311,310,100.0
88677,64,64,0.0,312,311,100.0
88785,64,64,0.0,313,312,30.0
88895,64,64,-10.0,314,313,30.0
88998,65,64,100.0,314,314,-8.0
89143,65,65,-22.0,315,314,100.0
89411,65,65,0.0,316,315,100.0
89555,65,65,-4.0,317,316,100.0
89940,65,65,-16.0,318,317,56.0
90029,65,65,0.0,319,318,56.0
90213,65,65,0.0,320,319,56.0
90452,65,65,0.0,321,320,18.0
90543,66,65,100.0,321,321,-4.0
90766,66,66,-20.0,322,321,100.0
90835,67,66,100.0,322,322,-10.0
91056,67,67,0.0,323,323,47.0
91214,67,67,-11.0,324,323,47.0
91330,67,67,0.0,325,324,47.0
91491,67,67,-42.0,326,325,25.0
91595,67,67,-23.0,327,326,25.0
91672,68,67,100.0,327,327,-42.0
91869,68,68,-13.0,328,327,100.0
92148,68,68,-13.0,329,328,100.0
92243,68,68,0.0,330,329,78.0
92434,68,68,-7.0,331,330,78.0
