0,1,2,3,4,5,6
109308,86,86,0.0,414,414,100.0
109497,86,86,-3.0,415,414,100.0
109633,86,86,0.0,416,415,100.0
109790,87,86,50.0,416,416,-11.0
109794,87,86,0.0,417,416,-11.0
109930,88,87,100.0,417,417,-22.0
110049,89,87,100.0,417,418,-7.0
110350,90,87,78.0,417,419,-13.0
110479,91,87,78.0,417,420,-10.0
110640,92,87,56.0,417,421,0.0
110829,93,87,34.0,417,422,-13.0
111097,93,88,-40.0,418,423,50.0
111193,94,88,100.0,418,423,-7.0
111344,95,88,78.0,418,424,-21.0
111440,96,88,78.0,418,425,-1.0
113719,96,88,-50.0,419,426,100.0
113934,97,89,34.0,419,426,0.0
114126,98,89,34.0,419,427,-10.0
114316,99,89,34.0,419,428,-23.0
114485,99,89,-10.0,420,429,75.0
114644,100,90,100.0,420,429,0.0
114758,101,90,100.0,420,430,-7.0
114901,102,90,100.0,420,431,-19.0
115030,103,90,100.0,420,432,-22.0
115279,104,90,34.0,420,433,-13.0
115521,105,90,34.0,420,434,0.0
115657,106,90,34.0,420,435,-34.0
115946,107,90,34.0,420,436,-1.0
116073,108,90,12.0,420,437,-6.0
116223,109,90,12.0,420,438,-3.0
116359,110,90,12.0,420,439,0.0
116445,111,90,12.0,420,440,-9.0
116546,111,90,-10.0,421,441,100.0
116822,112,91,78.0,421,441,-3.0
116963,113,91,6.0,421,442,-41.0
117178,114,91,6.0,421,443,-23.0
117520,114,91,-16.0,422,444,25.0
117521,115,91,-16.0,422,444,0.0
117657,116,92,100.0,422,445,-1.0
117901,117,92,100.0,422,446,0.0
118090,118,92,100.0,422,447,-1.0
118302,119,92,100.0,422,448,-32.0
118427,120,92,100.0,422,449,0.0
118605,121,92,100.0,422,450,-4.0
118798,121,92,-58.0,423,451,100.0
118968,122,93,100.0,423,451,-16.0
119254,123,93,27.0,423,452,-16.0
119466,124,93,27.0,423,453,-51.0
119650,125,93,27.0,423,454,0.0
119831,126,93,27.0,423,455,-7.0
119938,127,93,27.0,423,456,-14.0
120026,127,93,-79.0,424,457,100.0
120267,128,94,62.0,424,457,-23.0
120371,128,94,-54.0,425,458,100.0
120611,129,95,34.0,425,458,-19.0
120710,130,95,34.0,425,459,-1.0
120896,131,95,34.0,425,460,-19.0
121137,132,95,34.0,425,461,-22.0
121406,133,95,12.0,425,462,-32.0
123761,133,96,-35.0,426,463,100.0
123952,134,96,100.0,426,463,-4.0
124055,135,96,100.0,426,464,-7.0
124322,136,96,56.0,426,465,0.0
124494,137,96,56.0,426,466,-1.0
124684,138,96,34.0,426,467,-13.0
124785,139,96,34.0,426,468,0.0
124923,140,96,34.0,426,469,-13.0
125035,140,96,-10.0,427,470,100.0
125199,141,97,11.0,427,470,-1.0
125319,141,97,-11.0,428,471,100.0
125573,142,98,25.0,428,471,-13.0
125740,143,98,25.0,428,472,-13.0
125861,143,98,-19.0,429,473,100.0
125970,144,99,100.0,429,473,-11.0
126126,145,99,100.0,429,474,-16.0
126262,146,99,100.0,429,475,0.0
126458,147,99,100.0,429,476,-13.0
126680,148,99,100.0,429,477,-14.0
126828,149,99,12.0,429,478,-19.0
126896,149,99,-10.0,430,479,100.0
127005,150,100,100.0,430,479,-3.0
127179,151,100,78.0,430,480,0.0
127433,152,100,9.0,430,481,-29.0
127675,153,100,9.0,430,482,-16.0
127821,153,100,-13.0,431,483,75.0
127978,154,101,47.0,431,483,-20.0
128091,154,101,-19.0,432,484,100.0
128245,155,102,37.0,432,484,0.0
128378,156,102,37.0,432,485,-13.0
128599,157,102,37.0,432,486,-13.0
128736,157,102,-4.0,433,487,9.0
128823,158,103,100.0,433,487,-16.0
128973,159,103,100.0,433,488,0.0
129107,160,103,34.0,433,489,-1.0
129301,161,103,12.0,433,490,0.0
129461,161,103,-51.0,434,491,100.0
129581,162,104,100.0,434,491,-28.0
129808,163,104,2.0,434,492,-51.0
129894,164,104,2.0,434,493,0.0
130067,164,104,-81.0,435,494,75.0
