0,1,2,3,4,5,6
336,0,0,-17.0,1,0,100.0
446,0,0,-13.0,2,1,78.0
575,1,0,75.0,2,2,-22.0
768,1,1,0.0,3,2,100.0
891,1,1,-13.0,4,3,100.0
991,1,1,0.0,5,4,100.0
1162,1,1,0.0,6,5,59.0
1306,1,1,-39.0,7,7,37.0
1528,1,1,0.0,8,7,37.0
1666,1,1,-4.0,9,8,37.0
1827,1,1,0.0,10,9,15.0
1982,1,1,-42.0,11,10,15.0
2145,1,1,0.0,12,11,15.0
2280,1,1,0.0,13,12,15.0
2459,1,1,0.0,14,13,15.0
2641,2,1,22.0,14,14,-74.0
2741,2,2,-3.0,15,15,100.0
2913,2,2,0.0,16,16,100.0
3018,2,2,-7.0,17,16,100.0
3157,2,2,-39.0,18,17,59.0
3268,2,2,0.0,19,18,59.0
3352,2,2,-13.0,20,19,21.0
3502,2,2,-16.0,21,20,21.0
3616,2,2,-35.0,22,21,21.0
4013,2,2,0.0,23,23,21.0
4142,2,2,0.0,24,23,21.0
4258,3,2,100.0,24,24,-1.0
4572,3,3,0.0,25,24,46.0
4663,3,3,-52.0,26,25,46.0
5013,3,3,0.0,27,26,46.0
5120,3,3,-3.0,28,27,46.0
5330,3,3,-51.0,29,28,24.0
5438,3,3,-6.0,30,29,24.0
5527,3,3,-14.0,31,30,24.0
5688,3,3,-19.0,32,31,24.0
5851,4,3,25.0,32,32,-20.0
5953,4,4,0.0,33,32,100.0
6183,4,4,-29.0,34,33,100.0
6536,4,4,0.0,35,34,12.0
6677,4,4,-5.0,36,35,12.0
6852,4,4,-19.0,37,36,12.0
7233,4,4,0.0,38,37,12.0
7390,5,4,100.0,38,38,-10.0
7604,5,5,-19.0,39,38,100.0
7791,5,5,-4.0,40,39,62.0
7891,5,5,-13.0,41,40,62.0
8086,5,5,-19.0,42,41,62.0
8300,5,5,0.0,43,42,62.0
8384,6,5,100.0,43,43,-14.0
8488,6,6,0.0,44,43,100.0
8630,6,6,0.0,45,44,34.0
8875,6,6,-16.0,46,45,34.0
8991,7,6,75.0,46,46,-56.0
9126,7,7,-60.0,47,46,100.0
9339,8,7,50.0,47,47,-10.0
9455,8,8,0.0,48,47,100.0
9513,9,8,100.0,48,48,0.0
9640,9,9,0.0,49,48,100.0
9798,9,9,0.0,50,49,100.0
9945,9,9,0.0,51,50,100.0
10068,9,9,-14.0,52,51,62.0
10293,9,9,0.0,53,52,40.0
10431,9,9,-7.0,54,53,40.0
10589,10,9,50.0,54,54,-40.0
10709,10,10,-62.0,55,54,100.0
10862,10,10,0.0,56,55,100.0
11033,10,10,-41.0,57,56,49.0
11166,10,10,-14.0,58,57,49.0
11353,10,10,0.0,59,58,1.0
11528,10,10,-13.0,60,59,1.0
11595,11,10,100.0,60,60,-46.0
11778,11,11,0.0,61,60,37.0
11968,11,11,-53.0,62,62,37.0
12164,11,11,-7.0,63,62,37.0
12375,11,11,-22.0,64,63,37.0
12477,12,11,100.0,64,64,-17.0
12629,12,12,-3.0,65,64,100.0
12816,12,12,0.0,66,65,15.0
12916,12,12,-16.0,67,66,15.0
13002,13,12,100.0,67,67,-7.0
13208,13,13,-4.0,68,67,15.0
13351,13,13,-10.0,69,69,15.0
13487,14,13,100.0,69,69,-92.0
13647,14,14,-23.0,70,69,100.0
13840,14,14,-10.0,71,70,78.0
13994,14,14,0.0,72,71,78.0
14206,14,14,-16.0,73,72,78.0
14341,14,14,0.0,74,73,78.0
14563,14,14,-25.0,75,74,78.0
14739,14,14,0.0,76,75,78.0
14864,14,14,0.0,77,76,27.0
14999,14,14,0.0,78,77,27.0
15097,14,14,0.0,79,78,27.0
15282,14,14,0.0,80,79,27.0
15537,14,14,-6.0,81,80,27.0
15651,15,14,100.0,81,81,-17.0
15850,15,15,0.0,82,81,100.0
15945,15,15,0.0,83,82,100.0
16308,15,15,0.0,84,83,100.0
