0,1,2,3,4,5,6
209448,342,161,-114.0,559,784,100.0
209649,343,162,30.0,559,784,-36.0
209891,344,162,8.0,559,785,0.0
210340,345,162,8.0,559,787,-22.0
210440,346,162,8.0,559,788,0.0
210676,347,162,8.0,559,789,0.0
210797,348,162,8.0,559,790,-19.0
213353,348,162,-65.0,560,791,25.0
213508,349,162,-65.0,560,791,0.0
213879,349,162,0.0,561,791,0.0
214140,349,162,-7.0,562,791,0.0
214426,349,162,0.0,563,791,0.0
214789,350,162,0.0,563,791,-10.0
215220,350,162,0.0,564,791,0.0
215543,350,164,-16.0,565,797,62.0
215696,350,164,-16.0,566,798,62.0
215820,350,164,-16.0,567,799,62.0
215946,351,164,50.0,567,800,-4.0
216039,351,165,-19.0,568,800,100.0
216261,351,165,-7.0,569,801,78.0
216830,352,165,3.0,569,803,-10.0
217120,352,165,-22.0,570,803,-10.0
217379,353,165,-22.0,570,803,0.0
217719,353,165,-23.0,571,803,0.0
217872,353,165,-4.0,572,803,0.0
218248,353,165,0.0,573,803,0.0
218624,353,167,-15.0,574,808,100.0
219288,353,167,-13.0,575,811,100.0
219403,353,167,0.0,576,811,100.0
219499,353,167,-53.0,577,812,100.0
219611,353,167,-16.0,578,814,100.0
219752,353,167,-13.0,579,814,100.0
219946,353,167,0.0,580,815,100.0
220074,353,167,0.0,581,816,100.0
220294,353,167,-1.0,582,817,78.0
220740,353,167,0.0,583,819,78.0
220934,353,167,-1.0,584,820,78.0
221050,353,167,0.0,585,821,78.0
221613,353,167,0.0,586,824,12.0
221833,353,167,-16.0,587,824,12.0
221952,353,167,0.0,588,825,12.0
222500,353,167,0.0,589,827,12.0
222722,353,167,-13.0,590,828,12.0
223105,353,167,-22.0,591,829,12.0
223195,353,167,-2.0,592,830,12.0
223414,354,167,-2.0,592,830,-10.0
224009,355,168,100.0,592,832,-13.0
224501,356,168,100.0,592,834,-4.0
224887,356,168,-16.0,593,834,-4.0
225419,357,169,27.0,593,836,0.0
225541,358,169,27.0,593,837,-22.0
225702,359,169,27.0,593,838,-13.0
225904,360,169,27.0,593,839,0.0
225997,360,169,-56.0,594,840,100.0
226134,361,169,-56.0,594,840,-22.0
226792,361,171,-17.0,595,841,43.0
226921,362,171,50.0,595,842,-1.0
227147,362,172,0.0,596,842,56.0
227424,363,172,100.0,596,843,-61.0
227527,363,173,-23.0,597,843,100.0
227669,363,173,-14.0,598,844,100.0
227923,364,173,-14.0,598,844,-15.0
228566,365,174,100.0,598,846,-1.0
228770,366,174,100.0,598,847,0.0
228966,367,174,100.0,598,848,-97.0
229112,368,174,100.0,598,849,-22.0
229242,369,174,34.0,598,850,-42.0
229410,369,174,-10.0,599,851,75.0
229770,370,174,-10.0,599,851,-41.0
229919,370,174,0.0,600,851,0.0
230120,370,174,0.0,601,851,0.0
230431,370,176,-13.0,602,854,100.0
230913,370,176,-25.0,603,857,56.0
231011,370,176,-9.0,604,857,56.0
231195,370,176,-13.0,605,858,56.0
231372,370,176,-1.0,606,859,12.0
231498,370,176,-13.0,607,860,12.0
231806,371,176,-13.0,607,860,-10.0
232450,372,177,39.0,607,862,0.0
232544,373,177,39.0,607,863,-13.0
232881,373,177,-5.0,608,863,-13.0
233221,374,178,56.0,608,865,-16.0
233981,375,178,34.0,608,867,0.0
234112,375,178,-13.0,609,868,50.0
234271,376,179,100.0,609,868,0.0
234562,376,179,-10.0,610,869,75.0
234664,377,180,78.0,610,869,-53.0
234762,377,180,-45.0,611,870,100.0
234974,378,181,78.0,611,870,0.0
235114,378,181,-10.0,612,871,100.0
235293,379,182,100.0,612,871,-6.0
235423,380,182,100.0,612,872,0.0
235778,381,182,100.0,612,874,0.0
235942,382,182,100.0,612,875,-13.0
236059,382,182,-4.0,613,875,-13.0
236528,383,183,100.0,613,877,-41.0
236725,384,183,100.0,613,878,-10.0
236854,385,183,100.0,613,879,-7.0
237596,386,183,11.0,613,881,0.0
237810,387,183,11.0,613,882,-14.0
