0,1,2,3,4,5,6
33034,38,38,0.0,162,162,56.0
33198,38,38,0.0,163,162,56.0
33402,38,38,0.0,164,163,56.0
33574,38,38,0.0,165,164,56.0
33722,38,38,0.0,166,165,56.0
34052,38,38,0.0,167,166,9.0
34362,38,38,-19.0,168,167,9.0
34560,38,38,-22.0,169,168,9.0
34794,38,38,-13.0,170,169,9.0
34960,39,38,12.0,170,170,-13.0
35063,39,39,-13.0,171,170,100.0
35275,39,39,-13.0,172,171,56.0
35411,39,39,0.0,173,172,56.0
35544,39,39,-16.0,174,173,56.0
35782,39,39,-16.0,175,174,56.0
35913,39,39,-5.0,176,175,56.0
36121,39,39,0.0,177,176,56.0
36279,39,39,0.0,178,177,56.0
36433,39,39,-10.0,179,178,56.0
36737,39,39,0.0,180,179,56.0
36864,39,39,0.0,181,180,15.0
37041,39,39,-16.0,182,181,15.0
37151,39,39,-24.0,183,182,15.0
37262,39,39,-81.0,184,183,15.0
37389,39,39,-19.0,185,184,15.0
37487,39,39,0.0,186,185,15.0
37658,39,39,0.0,187,186,15.0
37741,40,39,100.0,187,187,-7.0
37976,40,40,0.0,188,187,100.0
38118,40,40,-20.0,189,188,100.0
38294,41,40,75.0,189,189,-10.0
38446,42,41,75.0,189,189,-10.0
38553,42,42,-17.0,190,189,100.0
38733,42,42,-42.0,191,190,59.0
38885,42,42,-35.0,192,191,59.0
39089,42,42,-19.0,193,192,59.0
39246,42,42,-10.0,194,194,59.0
39418,42,42,0.0,195,194,37.0
39495,43,42,100.0,195,195,-7.0
39740,43,43,0.0,196,195,27.0
39970,43,43,0.0,197,196,27.0
40192,43,43,-16.0,198,197,27.0
40355,43,43,-23.0,199,198,27.0
40629,43,43,0.0,200,199,5.0
40775,43,43,0.0,201,200,5.0
40950,44,43,15.0,201,201,-17.0
41042,44,44,-10.0,202,201,100.0
41074,45,44,-10.0,202,201,-1.0
41235,45,44,-13.0,203,202,100.0
41393,45,44,-19.0,204,203,100.0
41559,45,44,0.0,205,204,78.0
41721,45,44,-1.0,206,205,78.0
41933,45,44,0.0,207,206,12.0
42046,45,44,0.0,208,207,12.0
42181,46,44,50.0,208,208,-10.0
42389,46,45,0.0,209,209,100.0
42528,46,45,0.0,210,210,100.0
42703,46,45,-16.0,211,210,100.0
42847,46,45,-29.0,212,211,100.0
42976,46,45,0.0,213,212,100.0
43203,46,45,-46.0,214,213,100.0
43290,46,45,-7.0,215,214,100.0
43609,46,45,-13.0,216,215,100.0
43788,47,45,50.0,216,216,-25.0
43891,47,46,-19.0,217,216,100.0
44064,47,46,-16.0,218,217,100.0
44163,47,46,-7.0,219,218,100.0
