0,1,2,3,4,5,6
42138,17,17,0.0,83,83,56.0
42282,17,17,0.0,84,83,56.0
42409,17,17,-1.0,85,84,56.0
42608,18,17,75.0,85,85,-10.0
42766,18,18,-19.0,86,85,100.0
42881,18,18,0.0,87,86,100.0
43052,18,18,0.0,88,87,100.0
43237,18,18,-39.0,89,88,100.0
43343,18,18,-7.0,90,89,100.0
43477,18,18,-7.0,91,90,78.0
43595,18,18,-19.0,92,91,78.0
43686,19,18,100.0,92,92,-10.0
43783,19,19,-19.0,93,92,100.0
43883,20,19,100.0,93,93,-10.0
44028,20,20,-45.0,94,93,100.0
44239,20,20,-13.0,95,94,100.0
44390,20,20,0.0,96,95,27.0
44519,21,20,50.0,96,96,-66.0
44627,21,21,-35.0,97,96,100.0
44784,22,21,75.0,97,97,-10.0
44979,22,22,-7.0,98,97,100.0
45289,23,22,31.0,98,98,-10.0
45394,23,23,-26.0,99,98,100.0
45617,23,23,-67.0,100,99,46.0
45751,23,23,-19.0,101,100,24.0
45850,23,23,-6.0,102,101,24.0
45982,23,23,0.0,103,102,24.0
46077,24,23,25.0,103,103,-80.0
46184,24,24,0.0,104,103,100.0
46319,24,24,-7.0,105,104,56.0
46425,24,24,-7.0,106,105,56.0
46549,24,24,-3.0,107,106,56.0
46665,24,24,0.0,108,107,56.0
46803,25,24,15.0,108,108,-10.0
46913,25,25,-10.0,109,108,100.0
47040,25,25,0.0,110,109,100.0
47317,25,25,0.0,111,110,56.0
47438,25,25,0.0,112,111,56.0
47584,25,25,0.0,113,112,56.0
47678,26,25,100.0,113,113,-10.0
47840,26,26,-7.0,114,113,100.0
48012,26,26,-16.0,115,114,100.0
48210,26,26,-60.0,116,115,15.0
48353,27,26,75.0,116,116,-55.0
48458,27,27,-18.0,117,116,100.0
48700,27,27,0.0,118,117,100.0
48834,27,27,0.0,119,118,100.0
48968,28,27,100.0,119,119,-8.0
49183,28,28,-13.0,120,119,100.0
49326,28,28,-13.0,121,120,100.0
49464,28,28,-26.0,122,121,100.0
49754,28,28,-80.0,123,122,100.0
49909,28,28,0.0,124,124,56.0
50131,28,28,-13.0,125,124,56.0
50316,28,28,-10.0,126,125,56.0
50426,28,28,-44.0,127,126,56.0
50523,28,28,0.0,128,127,56.0
50633,28,28,0.0,129,128,56.0
50833,28,28,0.0,130,129,34.0
51017,28,28,0.0,131,131,12.0
51119,29,28,100.0,131,131,-10.0
51227,29,29,-22.0,132,131,100.0
51471,29,29,0.0,133,132,34.0
51557,29,29,-4.0,134,133,34.0
51643,30,29,100.0,134,134,-63.0
51748,30,30,-23.0,135,134,100.0
52672,30,30,0.0,136,135,34.0
52845,30,30,-13.0,137,136,34.0
52990,31,30,50.0,137,137,-20.0
53089,31,31,-7.0,138,137,100.0
53292,31,31,-16.0,139,138,100.0
53571,32,31,25.0,139,139,-20.0
53721,32,32,0.0,140,139,100.0
53962,32,32,0.0,141,140,100.0
54288,32,32,0.0,142,141,100.0
54483,33,32,3.0,142,142,-13.0
54600,33,33,-22.0,143,142,100.0
54859,33,33,-13.0,144,143,100.0
55093,33,33,-13.0,145,144,100.0
55337,33,33,-13.0,146,145,78.0
55526,33,33,0.0,147,146,56.0
55888,34,33,50.0,147,147,-79.0
56000,34,34,0.0,148,147,100.0
56236,34,34,-13.0,149,149,100.0
56467,34,34,-10.0,150,150,100.0
56628,34,34,-22.0,151,150,100.0
56747,34,34,-2.0,152,151,100.0
56828,35,34,100.0,152,152,-13.0
56987,35,35,-22.0,153,152,78.0
57224,35,35,0.0,154,153,34.0
57523,35,35,-23.0,155,154,34.0
57653,35,35,-19.0,156,155,34.0
57875,35,35,-63.0,157,156,34.0
57977,35,35,-4.0,158,157,12.0
58096,35,35,-5.0,159,158,12.0
58288,35,35,-13.0,160,159,12.0
58432,35,35,0.0,161,161,12.0
58578,35,35,-16.0,162,161,12.0
58710,35,35,0.0,163,162,12.0
58820,35,35,-4.0,164,164,12.0
