0,1,2,3,4,5,6
58821,35,35,-22.0,165,164,12.0
58997,35,35,-7.0,166,165,12.0
59186,35,35,0.0,167,166,12.0
59382,36,35,50.0,167,167,-10.0
59483,36,36,-46.0,168,167,100.0
59756,36,36,-13.0,169,168,56.0
60106,36,36,-35.0,170,169,34.0
60272,37,36,50.0,170,170,-10.0
60415,37,37,0.0,171,170,78.0
60648,37,37,-16.0,172,171,56.0
60803,37,37,-19.0,173,172,56.0
60994,37,37,0.0,174,173,34.0
61157,37,37,0.0,175,174,34.0
61330,37,37,0.0,176,175,34.0
61555,37,37,0.0,177,177,34.0
61801,37,37,-17.0,178,177,34.0
61918,38,37,50.0,178,178,-33.0
62036,38,38,0.0,179,178,100.0
62237,39,38,50.0,179,179,-25.0
62342,39,39,0.0,180,180,100.0
62852,39,39,0.0,181,180,78.0
62960,40,39,75.0,181,181,-10.0
63060,40,40,-1.0,182,182,100.0
63213,41,40,100.0,182,182,-1.0
63383,41,41,-19.0,183,182,56.0
63720,41,41,0.0,184,183,18.0
63834,42,41,50.0,184,184,-42.0
63971,42,42,0.0,185,184,100.0
64119,42,42,-7.0,186,185,100.0
64217,42,42,-7.0,187,187,100.0
64331,42,42,0.0,188,187,100.0
64516,42,42,0.0,189,188,100.0
64670,42,42,0.0,190,189,100.0
64905,42,42,0.0,191,190,100.0
65119,42,42,-70.0,192,191,78.0
65270,42,42,0.0,193,192,78.0
65489,42,42,-22.0,194,193,78.0
65593,43,42,100.0,194,194,-10.0
65710,43,43,0.0,195,194,100.0
66005,43,43,-54.0,196,195,100.0
66094,44,43,75.0,196,196,-12.0
66214,44,44,0.0,197,197,100.0
66501,44,44,0.0,198,197,78.0
66718,45,44,100.0,198,198,-10.0
66964,45,45,-21.0,199,198,100.0
67141,45,45,0.0,200,199,100.0
67257,45,45,0.0,201,201,100.0
67395,45,45,-22.0,202,201,100.0
67624,45,45,0.0,203,202,100.0
67786,45,45,-4.0,204,203,100.0
67903,45,45,0.0,205,204,100.0
68035,45,45,-22.0,206,205,100.0
68237,45,45,-13.0,207,206,100.0
68353,45,45,0.0,208,207,100.0
68487,45,45,0.0,209,208,100.0
68791,46,45,34.0,209,209,-4.0
68902,46,46,-16.0,210,209,100.0
69107,46,46,-29.0,211,210,56.0
69258,46,46,0.0,212,211,56.0
69565,46,46,-13.0,213,213,56.0
69689,46,46,-13.0,214,213,56.0
69905,46,46,0.0,215,214,12.0
69909,47,46,0.0,215,214,-10.0
70100,47,47,-7.0,216,215,78.0
70281,47,47,-13.0,217,216,78.0
70424,47,47,-29.0,218,217,78.0
70558,47,47,0.0,219,218,78.0
70890,47,47,0.0,220,219,78.0
71019,47,47,-1.0,221,220,78.0
71152,47,47,-35.0,222,221,78.0
71256,47,47,-1.0,223,222,78.0
71458,48,47,50.0,223,223,-1.0
71575,48,48,-13.0,224,223,100.0
71665,49,48,100.0,224,224,-13.0
71986,49,49,0.0,225,224,100.0
72152,49,49,0.0,226,225,62.0
72238,49,49,-16.0,227,226,62.0
72356,49,49,-6.0,228,227,40.0
72489,50,49,75.0,228,228,-4.0
72640,50,50,-11.0,229,228,100.0
72908,50,50,-13.0,230,229,100.0
73166,50,50,0.0,231,230,100.0
73400,50,50,-13.0,232,231,100.0
73520,50,50,-7.0,233,232,56.0
73687,50,50,-4.0,234,233,6.0
73845,50,50,-16.0,235,234,6.0
74049,50,50,-32.0,236,235,6.0
74195,50,50,0.0,237,236,6.0
74363,50,50,-11.0,238,237,6.0
74516,51,50,28.0,238,238,-16.0
74742,51,51,-38.0,239,239,100.0
74856,51,51,-49.0,240,239,100.0
74999,51,51,0.0,241,240,100.0
75191,51,51,0.0,242,241,100.0
75392,51,51,0.0,243,242,100.0
75637,51,51,-19.0,244,243,9.0
75804,51,51,0.0,245,245,9.0
75942,51,51,-7.0,246,245,9.0
76028,52,51,100.0,246,246,-13.0
76237,52,52,-16.0,247,246,100.0
