0,1,2,3,4,5,6
44,0,0,-16.0,1,0,100.0
245,0,0,0.0,2,1,100.0
366,0,0,-50.0,3,2,100.0
520,0,0,0.0,4,3,100.0
638,0,0,0.0,5,4,21.0
862,0,0,0.0,6,5,21.0
1009,0,0,0.0,7,6,21.0
1163,0,0,-13.0,8,7,21.0
1552,0,0,0.0,9,8,21.0
1663,0,0,-15.0,10,9,21.0
1796,0,0,-7.0,11,10,21.0
1982,0,0,0.0,12,11,21.0
2102,1,0,37.0,12,12,-42.0
2300,2,1,12.0,12,12,-87.0
2407,2,2,-13.0,13,12,100.0
2595,2,2,0.0,14,13,78.0
2729,2,2,-7.0,15,15,78.0
2907,2,2,-10.0,16,15,78.0
3061,2,2,-19.0,17,16,78.0
3144,2,2,-56.0,18,17,78.0
3331,2,2,0.0,19,18,78.0
3501,2,2,-10.0,20,19,56.0
29797,3,2,100.0,20,20,-32.0
30020,3,3,-23.0,21,20,100.0
30258,3,3,-39.0,22,21,100.0
30384,3,3,-12.0,23,22,100.0
30619,3,3,-73.0,24,23,78.0
30956,3,3,0.0,25,24,78.0
31179,3,3,-19.0,26,25,78.0
31320,3,3,0.0,27,26,78.0
31511,3,3,0.0,28,27,56.0
31591,4,3,100.0,28,28,-10.0
31773,4,4,-13.0,29,28,56.0
31970,4,4,0.0,30,29,56.0
32066,4,4,-10.0,31,30,56.0
32208,4,4,-13.0,32,31,56.0
32533,4,4,0.0,33,32,3.0
32690,4,4,-60.0,34,34,3.0
32878,4,4,-13.0,35,35,3.0
33126,4,4,-13.0,36,35,3.0
33303,4,4,-88.0,37,36,3.0
33415,5,4,100.0,37,37,-19.0
33650,5,5,-13.0,38,37,12.0
33768,5,5,-53.0,39,38,12.0
33877,6,5,18.0,39,39,-67.0
33967,6,6,-54.0,40,39,100.0
34082,6,6,-49.0,41,40,30.0
34245,7,6,100.0,41,41,-67.0
34495,7,7,0.0,42,41,100.0
34663,7,7,-19.0,43,42,100.0
34773,7,7,0.0,44,43,100.0
34857,7,7,-20.0,45,44,100.0
35162,7,7,0.0,46,45,100.0
35263,7,7,0.0,47,46,100.0
35459,7,7,0.0,48,47,56.0
35630,7,7,-32.0,49,48,56.0
35834,8,7,34.0,49,49,-20.0
35990,8,8,-13.0,50,49,28.0
36212,9,8,75.0,50,50,-16.0
36353,9,9,-25.0,51,50,100.0
36420,10,9,100.0,51,51,-1.0
36575,10,10,0.0,52,52,100.0
36735,10,10,0.0,53,52,100.0
36979,10,10,-22.0,54,53,17.0
37109,11,10,50.0,54,54,-46.0
37228,11,11,0.0,55,54,100.0
37321,11,11,-32.0,56,55,100.0
37438,11,11,0.0,57,56,100.0
37604,11,11,0.0,58,57,100.0
37848,11,11,0.0,59,59,34.0
37953,11,11,-21.0,60,59,34.0
38149,11,11,-23.0,61,60,12.0
38276,11,11,0.0,62,61,12.0
38494,12,11,25.0,62,62,-88.0
38621,12,12,0.0,63,62,40.0
38754,12,12,-19.0,64,63,40.0
38969,12,12,-16.0,65,64,40.0
39078,12,12,0.0,66,65,40.0
39156,13,12,100.0,66,66,-89.0
39260,13,13,-6.0,67,66,100.0
39413,13,13,0.0,68,67,100.0
39561,13,13,-19.0,69,68,100.0
39738,13,13,-10.0,70,69,78.0
39839,14,13,100.0,70,70,-10.0
39991,15,14,75.0,70,70,-10.0
40324,16,15,25.0,70,70,-32.0
40425,16,16,-23.0,71,70,100.0
40585,16,16,-16.0,72,71,100.0
40769,16,16,-16.0,73,72,100.0
40941,16,16,-13.0,74,73,100.0
41037,16,16,0.0,75,74,100.0
41190,16,16,-19.0,76,75,23.0
41299,16,16,-4.0,77,76,23.0
41412,16,16,0.0,78,78,23.0
41554,16,16,-16.0,79,78,23.0
41667,16,16,0.0,80,79,23.0
41916,16,16,-13.0,81,80,23.0
42028,16,16,0.0,82,81,23.0
42137,17,16,50.0,82,82,-73.0
