0,1,2,3,4,5,6
187534,271,142,0.0,529,687,100.0
187707,271,142,0.0,530,688,56.0
188022,271,142,-26.0,531,689,56.0
188174,271,142,-16.0,532,691,9.0
188254,272,142,100.0,532,691,-13.0
188418,272,142,-2.0,533,691,-13.0
188790,272,142,-13.0,534,691,0.0
189313,272,142,-22.0,535,691,0.0
189795,272,144,-27.0,536,695,100.0
189954,273,144,100.0,536,695,-4.0
190067,273,145,0.0,537,695,100.0
190198,273,145,0.0,538,696,100.0
190349,273,145,0.0,539,698,78.0
190464,273,145,-13.0,540,698,78.0
190644,273,145,-19.0,541,699,78.0
190787,273,145,0.0,542,700,78.0
190904,273,145,-15.0,543,701,78.0
191046,274,145,100.0,543,702,-46.0
191165,275,146,-20.0,544,702,-73.0
191283,276,147,100.0,544,703,0.0
191367,277,147,100.0,544,704,-30.0
191472,278,147,50.0,544,705,-16.0
191702,278,147,-16.0,545,705,-16.0
192163,279,148,62.0,545,707,-29.0
192454,280,148,62.0,545,708,0.0
192843,281,148,62.0,545,710,-78.0
193423,282,148,18.0,545,712,-26.0
193903,283,148,18.0,545,714,0.0
194179,284,148,18.0,545,715,-54.0
194869,284,148,-64.0,546,717,75.0
194973,285,149,100.0,546,717,-22.0
195040,285,149,-10.0,547,718,100.0
195155,286,150,100.0,547,718,-20.0
195257,287,150,100.0,547,719,0.0
195403,288,150,100.0,547,720,0.0
195534,289,150,100.0,547,721,0.0
195748,290,150,17.0,547,722,-59.0
196494,291,150,17.0,547,724,-4.0
196678,292,150,17.0,547,725,-16.0
196925,292,151,-5.0,548,726,100.0
197143,293,151,100.0,548,726,0.0
197417,294,151,100.0,548,728,-4.0
197623,295,151,78.0,548,729,-8.0
197842,296,151,78.0,548,730,0.0
198048,297,151,78.0,548,731,0.0
198241,297,151,-4.0,549,732,75.0
198387,298,152,100.0,549,732,0.0
198591,299,152,12.0,549,733,0.0
198736,299,152,-101.0,550,734,75.0
198900,300,153,100.0,550,734,-29.0
199150,301,153,100.0,550,735,0.0
199334,302,153,78.0,550,736,-77.0
199484,303,153,78.0,550,737,0.0
199588,304,153,78.0,550,738,-14.0
199746,304,153,-10.0,551,739,100.0
199896,305,154,100.0,551,739,0.0
200077,306,154,100.0,551,740,-19.0
200247,307,154,100.0,551,741,-9.0
200462,307,155,-54.0,552,742,25.0
200568,308,155,100.0,552,742,0.0
200737,309,155,100.0,552,743,-4.0
201018,310,155,78.0,552,745,-2.0
201153,311,155,78.0,552,746,0.0
201609,312,155,78.0,552,748,0.0
201943,312,155,-61.0,553,750,100.0
202037,313,156,100.0,553,750,-19.0
202158,314,156,100.0,553,751,-7.0
202273,315,156,100.0,553,752,-16.0
202504,316,156,100.0,553,753,-1.0
202749,316,157,-35.0,554,754,50.0
202903,317,157,100.0,554,754,0.0
203056,318,157,100.0,554,755,-7.0
203183,319,157,100.0,554,756,-24.0
203348,320,157,100.0,554,757,-51.0
203473,321,157,100.0,554,758,0.0
203737,322,157,78.0,554,759,-16.0
203820,322,157,-19.0,555,760,100.0
203940,323,158,100.0,555,760,-4.0
204070,324,158,56.0,555,761,0.0
204171,324,158,-37.0,556,762,75.0
204310,325,159,100.0,556,762,0.0
204639,326,159,100.0,556,763,-31.0
204956,327,159,34.0,556,764,0.0
205185,328,159,34.0,556,765,-4.0
205375,329,159,34.0,556,766,-13.0
205513,330,159,34.0,556,767,0.0
205619,331,159,34.0,556,768,-8.0
205784,331,159,-10.0,557,769,25.0
205891,332,160,100.0,557,769,0.0
206384,333,160,78.0,557,771,-23.0
207051,333,161,-16.0,558,773,75.0
207167,334,161,100.0,558,773,-7.0
207356,335,161,100.0,558,774,0.0
207702,336,161,100.0,558,776,-19.0
208190,337,161,6.0,558,778,0.0
208348,338,161,6.0,558,779,0.0
208735,339,161,6.0,558,780,0.0
209096,340,161,6.0,558,781,-16.0
209221,341,161,6.0,558,782,-54.0
209447,342,161,6.0,558,783,0.0
