0,1,2,3,4,5,6
16449,16,15,12.0,84,84,-2.0
16550,16,16,-13.0,85,84,100.0
16673,16,16,-17.0,86,85,13.0
16765,17,16,100.0,86,86,-9.0
16875,17,17,-4.0,87,86,100.0
17027,18,17,75.0,87,87,-14.0
17241,19,18,50.0,87,87,-19.0
17347,19,19,-42.0,88,87,100.0
17625,19,19,0.0,89,88,56.0
17828,19,19,-13.0,90,89,56.0
18145,19,19,0.0,91,91,5.0
18342,19,19,-7.0,92,91,5.0
18530,19,19,-13.0,93,92,5.0
18645,19,19,0.0,94,93,5.0
18720,20,19,100.0,94,94,-17.0
18839,20,20,-13.0,95,94,100.0
19115,20,20,-12.0,96,95,100.0
19359,20,20,-32.0,97,96,16.0
19466,20,20,-2.0,98,97,16.0
19573,20,20,0.0,99,98,16.0
19689,20,20,-13.0,100,99,16.0
19786,21,20,100.0,100,100,-6.0
19950,21,21,0.0,101,100,100.0
20290,21,21,-16.0,102,101,78.0
20418,21,21,-1.0,103,102,78.0
20533,21,21,-19.0,104,103,78.0
20872,21,21,0.0,105,104,78.0
20946,22,21,100.0,105,105,-10.0
21138,23,22,6.0,105,105,-10.0
21237,23,23,-19.0,106,106,100.0
21436,23,23,0.0,107,106,100.0
21538,23,23,-19.0,108,107,100.0
21716,23,23,-16.0,109,108,34.0
21894,23,23,-13.0,110,109,34.0
22044,23,23,0.0,111,110,34.0
22239,23,23,-44.0,112,111,34.0
22473,23,23,0.0,113,113,34.0
22650,23,23,0.0,114,113,34.0
22771,23,23,0.0,115,115,34.0
22925,23,23,0.0,116,115,34.0
23119,23,23,-3.0,117,116,34.0
23238,24,23,25.0,117,117,-85.0
23378,24,24,0.0,118,117,36.0
23471,24,24,0.0,119,118,36.0
23802,25,24,25.0,119,119,-24.0
23894,25,25,0.0,120,119,27.0
24069,25,25,-1.0,121,120,5.0
24336,26,25,50.0,121,121,-17.0
24506,26,26,0.0,122,121,5.0
24686,27,26,50.0,122,122,-42.0
24802,27,27,0.0,123,123,100.0
24953,27,27,-35.0,124,123,100.0
25040,27,27,-4.0,125,124,100.0
25255,28,27,50.0,125,125,-26.0
25349,28,28,-13.0,126,125,100.0
25479,28,28,-1.0,127,126,100.0
25674,28,28,-5.0,128,127,100.0
25842,28,28,0.0,129,128,100.0
26048,28,28,0.0,130,129,100.0
26431,28,28,0.0,131,131,78.0
26579,28,28,-16.0,132,131,78.0
26803,28,28,0.0,133,132,1.0
26805,29,28,0.0,133,132,-114.0
26921,29,29,-23.0,134,133,100.0
27051,30,29,50.0,134,134,-41.0
27240,30,30,-75.0,135,134,100.0
27526,30,30,0.0,136,135,100.0
27685,30,30,-22.0,137,136,78.0
27786,30,30,-1.0,138,137,78.0
27876,31,30,100.0,138,138,-20.0
28024,31,31,-23.0,139,138,100.0
28143,31,31,-13.0,140,139,62.0
28314,31,31,0.0,141,140,62.0
28460,31,31,0.0,142,141,62.0
28637,31,31,0.0,143,142,62.0
28715,32,31,100.0,143,143,-35.0
28895,33,32,50.0,143,143,-9.0
29010,33,33,-16.0,144,143,100.0
29176,33,33,-14.0,145,144,100.0
29267,34,33,100.0,145,145,-10.0
29429,34,34,0.0,146,145,33.0
29615,34,34,0.0,147,146,33.0
29816,34,34,0.0,148,147,33.0
29969,34,34,-2.0,149,148,33.0
30089,34,34,-17.0,150,149,33.0
30248,35,34,100.0,150,150,-5.0
30372,35,35,-22.0,151,150,100.0
30609,35,35,0.0,152,151,100.0
30848,35,35,-101.0,153,152,100.0
31137,35,35,-29.0,154,153,56.0
31365,35,35,0.0,155,154,12.0
31633,35,35,-2.0,156,155,12.0
31704,36,35,100.0,156,156,-10.0
31863,36,36,0.0,157,157,100.0
32094,36,36,-4.0,158,157,100.0
32277,36,36,-39.0,159,158,78.0
32386,37,36,100.0,159,159,-10.0
32571,37,37,0.0,160,159,18.0
32677,38,37,100.0,160,160,-4.0
32785,38,38,-11.0,161,160,100.0
