episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
2501,25.0,-8.961,-7.166,62.0,-12.0,-7.0,0,1,0,1,0,1,2,0,0,1,0,0,1.286999999999999,0.09999999999999964,-0.029000000000000803,-0.7000000000000002,6,0.38,7,14
2502,25.0,-7.306,-7.093,62.0,-11.4,-7.2,0,1,1,0,0,1,2,0,0,0,0,1,1.6550000000000002,0.5999999999999996,0.0730000000000004,-0.20000000000000018,0,0.0,7,14
2503,25.0,-6.393,-7.032,62.0,-10.4,-7.0,0,1,0,1,0,1,2,0,0,0,1,0,0.9130000000000003,1.0,0.06099999999999994,0.20000000000000018,3,0.0,7,14
2504,25.0,-5.824,-7.17,62.0,-9.4,-7.1,0,1,0,1,0,1,2,0,0,0,1,0,0.569,1.0,-0.1379999999999999,-0.09999999999999964,3,0.0,7,14
2505,25.0,-5.672,-7.166,62.0,-9.2,-7.1,0,1,0,1,0,1,2,0,0,0,1,0,0.15200000000000014,0.20000000000000107,0.0039999999999995595,0.0,6,0.0,7,14
2506,-19.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-1.25,7,14
2507,-19.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,7,14
2508,-19.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,7,14
2509,-19.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,7,14
2510,-19.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,7,14
