episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
1,21.0,-3.519,-7.165,100.0,-11.8,-2.8,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.3999999999999986,0.0,-0.5999999999999996,3,0.0,8,104
2,21.0,-3.519,-7.165,100.0,-10.9,-3.7,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.9000000000000004,0.0,-0.9000000000000004,4,0.0,8,104
3,21.0,-3.613,-7.118,100.0,-9.7,-4.5,0,1,0,1,0,0,0,0,0,1,0,0,-0.09399999999999986,1.200000000000001,0.04699999999999971,-0.7999999999999998,2,0.0,8,104
4,21.0,-3.974,-7.026,100.0,-8.0,-5.4,0,1,0,1,0,0,0,0,0,1,0,0,-0.3610000000000002,1.6999999999999993,0.09200000000000053,-0.9000000000000004,2,0.0,8,104
5,21.0,-4.524,-7.15,100.0,-6.4,-6.4,0,1,0,1,0,1,0,0,0,1,0,0,-0.5499999999999998,1.5999999999999996,-0.12400000000000055,-1.0,2,0.0,8,104
6,21.0,-4.676,-7.155,100.0,-5.3,-7.0,0,1,0,1,1,1,0,0,0,1,0,0,-0.15200000000000014,1.1000000000000005,-0.004999999999999893,-0.5999999999999996,4,0.0,8,104
7,21.0,-2.904,-7.135,62.0,-7.0,-7.2,0,1,1,0,0,1,2,0,0,1,0,0,1.7720000000000002,-1.7000000000000002,0.020000000000000462,-0.20000000000000018,6,0.38,8,104
8,21.0,-1.204,-7.137,62.0,-9.4,-7.0,0,1,0,1,0,1,2,0,0,0,0,1,1.7,-2.4000000000000004,-0.0019999999999997797,0.20000000000000018,0,0.0,8,104
9,21.0,0.366,-7.147,62.0,-11.2,-7.1,0,1,0,1,0,1,2,0,0,0,0,1,1.5699999999999998,-1.799999999999999,-0.010000000000000675,-0.09999999999999964,4,0.0,8,104
10,21.0,1.293,-7.11,62.0,-12.1,-5.2,0,1,0,1,0,0,2,0,0,0,0,1,0.9269999999999999,-0.9000000000000004,0.03699999999999992,1.8999999999999995,0,0.0,8,104
11,21.0,1.999,-7.065,62.0,-11.5,-4.4,0,1,0,1,0,0,2,0,0,0,0,1,0.7060000000000002,0.5999999999999996,0.04499999999999993,0.7999999999999998,6,0.0,8,104
12,21.0,2.393,-7.034,62.0,-10.5,-4.2,0,1,0,1,0,0,2,0,1,0,0,0,0.3939999999999997,1.0,0.031000000000000583,0.20000000000000018,1,0.0,8,104
13,21.0,2.554,-7.039,62.0,-8.9,-4.3,0,1,0,1,0,0,1,0,1,0,0,0,0.16100000000000003,1.5999999999999996,-0.004999999999999893,-0.09999999999999964,4,0.0,8,104
14,21.0,2.736,-7.142,62.0,-7.6,-4.8,0,1,0,1,0,0,1,0,0,0,1,0,0.18200000000000038,1.3000000000000007,-0.10300000000000065,-0.5,3,0.0,8,104
15,21.0,2.865,-5.782,62.0,-7.9,-5.4,0,1,0,1,0,1,1,3,0,0,1,0,0.129,-0.3000000000000007,1.3600000000000003,-0.6000000000000005,7,0.0,8,104
16,21.0,2.92,-4.808,62.0,-9.5,-6.2,0,1,1,0,0,0,1,3,1,0,0,0,0.054999999999999716,-1.5999999999999996,0.9740000000000002,-0.7999999999999998,1,0.0,8,104
17,-48.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-1.21,8,104
18,-48.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,8,104
19,-48.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,8,104
