episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
2501,100.0,-1.842,-7.165,100.0,-6.6,-7.0,0,1,0,1,0,1,1,1,1,0,0,0,-0.06800000000000006,2.200000000000001,-0.054999999999999716,0.0,6,0.0,21,153
2502,100.0,-1.842,-7.165,100.0,-5.4,-7.0,0,1,0,1,0,1,1,0,1,0,0,0,0.0,1.1999999999999993,0.0,0.0,7,0.0,21,153
2503,100.0,-1.842,-7.164,100.0,-3.7,-7.0,0,1,0,1,0,1,1,0,1,0,0,0,0.0,1.7000000000000002,0.001000000000000334,0.0,1,0.0,21,153
2504,100.0,-1.842,-7.163,100.0,-2.8,-4.1,0,1,0,1,1,0,0,0,1,0,0,0,0.0,0.9000000000000004,0.0009999999999994458,2.9000000000000004,1,0.0,21,153
2505,100.0,-1.842,-5.436,100.0,-5.0,-2.7,0,1,0,1,0,0,0,0,1,0,0,0,0.0,-2.2,1.7270000000000003,1.3999999999999995,5,0.0,21,153
2506,100.0,-1.842,-3.435,100.0,-5.9,-2.1,0,1,0,1,0,0,0,3,1,0,0,0,0.0,-0.9000000000000004,2.001,0.6000000000000001,7,0.0,21,153
2507,100.0,-2.056,-2.78,100.0,-5.6,-2.1,0,1,0,1,0,1,0,3,0,1,0,0,-0.21399999999999997,0.3000000000000007,0.6550000000000002,0.0,2,0.0,21,153
2508,100.0,-2.74,-2.663,100.0,-4.8,-2.5,0,1,0,1,0,1,0,3,0,1,0,0,-0.6840000000000002,0.7999999999999998,0.11699999999999999,-0.3999999999999999,2,0.0,21,153
2509,100.0,-3.17,-3.018,100.0,-3.9,-2.9,0,1,0,1,1,1,0,3,0,1,0,0,-0.4299999999999997,0.8999999999999999,-0.355,-0.3999999999999999,5,0.0,21,153
2510,100.0,-1.118,-3.771,62.0,-4.8,-3.5,0,1,0,1,0,1,2,3,0,1,0,0,2.0519999999999996,-0.8999999999999999,-0.7530000000000001,-0.6000000000000001,6,0.38,21,153
2511,100.0,0.697,-4.695,62.0,-5.2,-4.1,0,1,0,1,0,1,2,2,0,0,1,0,1.815,-0.40000000000000036,-0.9240000000000004,-0.5999999999999996,3,0.0,21,153
2512,100.0,2.02,-5.732,62.0,-4.9,-4.9,0,1,0,1,0,1,2,2,0,0,1,0,1.323,0.2999999999999998,-1.037,-0.8000000000000007,5,0.0,21,153
2513,100.0,2.7,-6.877,62.0,-3.9,-5.7,0,1,0,1,0,0,2,2,0,0,1,0,0.6800000000000002,1.0000000000000004,-1.1449999999999996,-0.7999999999999998,3,0.0,21,153
2514,100.0,2.963,-7.169,62.0,-3.5,-6.6,0,1,0,1,0,1,2,2,1,0,0,0,0.2629999999999999,0.3999999999999999,-0.2919999999999998,-0.8999999999999995,1,0.0,21,153
