episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5035,100.0,-10.052,-5.322,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,1,0,0,-0.20899999999999963,0.0,1.7859999999999996,0.0,5,0,8,22
5036,100.0,-10.187,-3.529,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,1,0,-0.1349999999999998,0.0,1.7930000000000001,0.0,3,0,8,22
5037,100.0,-10.277,-3.121,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,1,0,-0.08999999999999986,0.0,0.4079999999999999,0.0,3,0,8,22
5038,100.0,-10.336,-3.387,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,1,0,-0.05900000000000105,0.0,-0.266,0.0,3,0,8,22
5039,100.0,-10.38,-2.533,78.0,-13.6,-2.5,0,1,0,1,0,1,2,2,0,0,1,0,-0.04400000000000048,0.0,0.8540000000000001,0.0,6,0,8,22
5040,100.0,-10.404,-1.578,78.0,-13.6,-2.5,0,1,1,0,0,1,2,2,0,0,1,0,-0.023999999999999133,0.0,0.9549999999999998,0.0,6,0,8,22
5041,100.0,-10.421,-1.199,78.0,-13.6,-2.5,0,1,1,0,0,0,2,2,1,0,0,0,-0.01699999999999946,0.0,0.379,0.0,1,0,8,22
5042,100.0,-10.432,-1.121,78.0,-13.6,-2.5,0,1,1,0,0,0,2,1,1,0,0,0,-0.011000000000001009,0.0,0.07800000000000007,0.0,1,0,8,22
5043,100.0,-10.439,-1.297,78.0,-13.6,-2.5,0,1,1,0,0,0,2,1,1,0,0,0,-0.006999999999999673,0.0,-0.17599999999999993,0.0,4,0,8,22
5044,100.0,-10.444,-1.801,78.0,-13.6,-2.5,0,1,1,0,0,1,2,1,1,0,0,0,-0.005000000000000782,0.0,-0.504,0.0,5,0,8,22
5045,100.0,-10.447,-2.424,78.0,-13.6,-2.5,0,1,1,0,0,1,1,1,1,0,0,0,-0.0029999999999983373,0.0,-0.623,0.0,5,0,8,22
5046,100.0,-10.449,-3.058,78.0,-13.6,-2.5,0,1,0,1,0,1,1,1,1,0,0,0,-0.002000000000000668,0.0,-0.6339999999999999,0.0,6,0,8,22
5047,100.0,-10.451,-3.956,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,1,0,0,0,-0.002000000000000668,0.0,-0.8980000000000001,0.0,6,0,8,22
5048,100.0,-10.452,-4.737,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,1,0,0,0,-0.0009999999999994458,0.0,-0.7810000000000001,0.0,1,0,8,22
5049,100.0,-10.452,-5.63,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,1,0,0.0,0.0,-0.8929999999999998,0.0,3,0,8,22
5050,100.0,-10.284,-6.813,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,0,1,0.16799999999999926,0.0,-1.1829999999999998,0.0,0,0,8,22
5051,100.0,-9.984,-7.045,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,0,0,0,1,0.3000000000000007,0.0,-0.2320000000000002,0.0,6,0,8,22
