episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
1,100.0,-6.0,-5.16,12.0,-8.5,-4.6,0,1,0,1,0,1,0,0,0,1,0,0,0.0,1.4000000000000004,2.005,-0.6999999999999997,5,0.0,16,130
2,100.0,-6.0,-3.437,12.0,-7.3,-5.3,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.2000000000000002,1.7230000000000003,-0.7000000000000002,5,0.0,16,130
3,100.0,-6.0,-2.924,12.0,-7.1,-6.3,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.20000000000000018,0.5129999999999999,-1.0,3,0.0,16,130
4,100.0,-6.187,-3.029,12.0,-7.6,-7.2,0,1,1,0,0,0,0,0,0,1,0,0,-0.18700000000000028,-0.5,-0.10499999999999998,-0.9000000000000004,2,0.0,16,130
5,100.0,-5.189,-3.479,12.0,-8.4,-7.1,0,1,1,0,0,0,2,0,0,1,0,0,0.9980000000000002,-0.8000000000000007,-0.4500000000000002,0.10000000000000053,6,0.0,16,130
6,100.0,-3.78,-3.989,12.0,-9.3,-7.1,0,1,1,0,0,0,2,0,0,1,0,0,1.4090000000000003,-0.9000000000000004,-0.5099999999999998,0.0,5,0.0,16,130
7,100.0,-1.578,-4.687,12.0,-10.5,-7.1,0,1,1,0,0,0,2,3,0,1,0,0,2.202,-1.1999999999999993,-0.6980000000000004,0.0,7,0.0,16,130
8,100.0,0.5,-5.568,12.0,-11.8,-6.3,0,1,1,0,0,1,2,3,0,1,0,0,2.0780000000000003,-1.3000000000000007,-0.8809999999999993,0.7999999999999998,7,0.0,16,130
9,100.0,1.879,-6.301,12.0,-12.0,-4.2,0,1,0,1,0,0,2,3,0,1,0,0,1.379,-0.1999999999999993,-0.7330000000000005,2.0999999999999996,4,0.0,16,130
10,100.0,2.693,-7.17,12.0,-11.8,-3.4,0,1,0,1,0,0,2,3,0,1,0,0,0.8140000000000001,0.1999999999999993,-0.8689999999999998,0.8000000000000003,2,0.0,16,130
11,100.0,2.902,-7.081,12.0,-11.9,-3.0,0,1,0,1,0,0,1,3,0,0,0,1,0.20900000000000007,-0.09999999999999964,0.08899999999999952,0.3999999999999999,0,0.0,16,130
12,100.0,2.951,-7.122,12.0,-11.1,-3.1,0,1,0,1,0,0,1,3,0,1,0,0,0.04899999999999993,0.8000000000000007,-0.04099999999999948,-0.10000000000000009,2,0.0,16,130
13,100.0,2.856,-7.167,12.0,-9.8,-3.5,0,1,0,1,0,0,1,2,0,1,0,0,-0.0950000000000002,1.299999999999999,-0.04499999999999993,-0.3999999999999999,4,0.0,16,130
14,100.0,2.778,-7.093,12.0,-8.4,-4.0,0,1,0,1,0,0,1,2,0,1,0,0,-0.07799999999999985,1.4000000000000004,0.07399999999999984,-0.5,2,0.0,16,130
15,100.0,2.599,-7.037,12.0,-6.8,-4.7,0,1,0,1,0,0,1,2,0,1,0,0,-0.17899999999999983,1.6000000000000005,0.05600000000000005,-0.7000000000000002,7,0.0,16,130
16,100.0,2.527,-7.028,12.0,-5.1,-5.6,0,1,0,1,0,0,1,2,0,1,0,0,-0.07200000000000006,1.7000000000000002,0.009000000000000341,-0.8999999999999995,7,0.0,16,130
