episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
1,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2,0.0,0,0
2,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
3,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
4,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2,0.0,0,0
5,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2,0.0,0,0
6,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,2,0,0,1,0,0,0.0,0.0,0.0,0.0,6,0.0,0,0
7,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
8,78.0,-12.165,-7.164,100.0,-3.1,-7.2,1,0,1,0,0,1,2,0,0,0,1,0,0.0,0.0,0.0,0.0,3,0.0,0,0
9,78.0,-10.932,-7.132,100.0,-3.1,-7.1,1,0,0,1,0,1,2,0,0,0,0,1,1.2329999999999988,0.0,0.03200000000000003,0.10000000000000053,0,0.0,0,0
10,78.0,-9.052,-7.11,78.0,-3.0,-7.0,1,0,0,1,0,1,2,0,1,0,0,0,1.8800000000000008,0.10000000000000009,0.021999999999999353,0.09999999999999964,1,0.22,0,0
11,78.0,-7.806,-7.17,78.0,-3.1,-7.2,1,0,1,0,0,1,2,0,0,0,1,0,1.2459999999999996,-0.10000000000000009,-0.05999999999999961,-0.20000000000000018,3,0.0,0,0
12,78.0,-7.255,-5.161,78.0,-3.6,-5.7,1,0,1,0,0,1,1,0,0,0,1,0,0.5510000000000002,-0.5,2.0090000000000003,1.5,5,0.0,0,0
13,78.0,-6.89,-3.691,78.0,-4.6,-3.9,1,0,1,0,0,1,1,0,0,0,1,0,0.3650000000000002,-0.9999999999999996,1.4699999999999998,1.8000000000000003,3,0.0,0,0
14,37.0,-7.561,-3.139,78.0,-2.7,-2.8,1,0,0,1,0,1,1,0,0,0,1,0,-0.6710000000000003,1.8999999999999995,0.552,1.1,6,-0.41000000000000003,0,0
15,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,-1.37,0,0
16,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
17,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
18,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,0,0
19,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
20,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
21,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,0.0,0,0
22,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
23,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
24,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0,0
25,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0,0
26,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0,0
27,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
28,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
29,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0
30,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,0,0
31,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
32,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
33,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0,0
34,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,0,0
35,-7.0,0.0,0.0,78.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0,0
