episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
1,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,0,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,0,0.0,0,0
2,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
3,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
4,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
5,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
6,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
7,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,7,0.0,0,0
8,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,1,0,0,0,2.8000000000000007,-2.8000000000000007,2.3,-2.3,1,0.0,0,0
9,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,1,0,0,0,2.8000000000000007,-2.8000000000000007,2.3,-2.3,1,0.0,0,0
10,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,1,0,0,0,2.8000000000000007,-2.8000000000000007,2.3,-2.3,1,0.0,0,0
11,100.0,-8.0,-4.9,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,0,0,0,1,2.8000000000000007,-2.8000000000000007,2.3,-2.3,0,0.0,0,0
12,100.0,-8.2,-5.1,34.0,-10.8,-7.2,0,1,1,0,0,0,0,2,0,0,0,1,2.6000000000000014,-2.8000000000000007,2.1000000000000005,-2.3,7,0.0,0,0
13,100.0,-10.3,-5.9,34.0,-10.6,-7.1,0,1,1,0,1,0,0,1,0,0,0,1,0.5,-2.4000000000000004,1.2999999999999998,-2.0,0,0.0,0,0
14,100.0,-12.1,-6.5,34.0,-12.0,-7.1,1,0,1,0,1,1,0,1,1,0,0,0,-1.5,-1.6999999999999993,0.5999999999999996,-1.1999999999999993,1,0.0,0,0
15,49.0,-11.9,-4.4,34.0,-12.2,-7.2,0,1,1,0,1,0,0,1,0,0,0,1,0.09999999999999964,-0.09999999999999964,2.6999999999999993,-0.7000000000000002,0,-0.51,0,0
16,49.0,-10.7,-1.7,34.0,-12.0,-7.1,0,1,1,0,0,0,0,1,0,0,0,1,1.5,-0.09999999999999964,5.5,-2.6999999999999993,0,0.0,0,0
17,49.0,-9.2,-0.1,34.0,-11.9,-7.1,0,1,1,0,0,0,0,1,0,0,0,1,2.8000000000000007,-1.200000000000001,7.0,-5.3999999999999995,4,0.0,0,0
18,49.0,-7.7,0.4,34.0,-11.8,-7.0,0,1,1,0,0,0,2,1,0,0,0,1,4.2,-2.6000000000000014,7.5,-6.9,6,0.0,0,0
19,49.0,-6.0,0.5,34.0,-12.1,-6.9,0,1,1,0,0,0,2,0,0,0,0,1,5.800000000000001,-4.3999999999999995,7.5,-7.300000000000001,7,0.0,0,0
20,49.0,-4.0,0.1,34.0,-11.9,-7.0,0,1,1,0,0,0,2,0,0,0,0,1,8.1,-5.9,7.0,-7.5,0,0.0,0,0
