episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
27,34.0,-7.532,-7.104,12.0,-8.9,0.7,0,1,0,1,0,0,0,0,0,0,0,1,0.3360000000000003,-0.5,-0.07200000000000006,2.5,0,-0.44,25000,25000
28,34.0,-7.32,-7.155,12.0,-9.9,1.8,0,1,0,1,0,0,0,0,0,1,0,0,0.21199999999999974,-1.0,-0.051000000000000156,1.1,2,0.0,25000,25000
29,34.0,-7.371,-5.428,12.0,-11.2,2.2,0,1,0,1,0,0,0,0,0,1,0,0,-0.051000000000000156,-1.299999999999999,1.7270000000000003,0.40000000000000013,5,0.0,25000,25000
30,34.0,-7.395,-3.713,12.0,-12.0,2.1,0,1,0,1,0,0,0,0,0,0,1,0,-0.023999999999999133,-0.8000000000000007,1.7149999999999999,-0.10000000000000009,3,0.0,25000,25000
31,34.0,-7.21,-3.198,12.0,-11.5,1.7,0,1,0,1,0,0,0,0,0,0,0,1,0.1849999999999996,0.5,0.5150000000000001,-0.40000000000000013,0,0.0,25000,25000
32,34.0,-6.883,-3.173,12.0,-10.5,1.1,0,1,0,1,0,0,0,3,0,0,0,1,0.32699999999999996,1.0,0.02499999999999991,-0.5999999999999999,7,0.0,25000,25000
33,34.0,-6.666,-3.676,12.0,-9.0,0.3,0,1,0,1,0,0,0,3,0,0,1,0,0.21699999999999964,1.5,-0.5030000000000001,-0.8,3,0.0,25000,25000
34,34.0,-6.522,-4.434,12.0,-7.5,-0.5,0,1,0,1,1,0,0,3,0,0,1,0,0.14400000000000013,1.5,-0.758,-0.8,5,0.0,25000,25000
35,34.0,-6.417,-3.988,12.0,-5.8,-1.3,1,0,0,1,1,0,0,3,0,0,1,0,0.10500000000000043,1.7000000000000002,0.4460000000000002,-0.8,7,0.0,25000,25000
36,34.0,-6.357,-3.357,12.0,-4.1,-2.3,1,0,0,1,0,0,0,3,0,0,1,0,0.05999999999999961,1.7000000000000002,0.6309999999999998,-0.9999999999999998,5,0.0,25000,25000
37,34.0,-6.317,-3.329,12.0,-2.0,-3.2,1,0,0,1,0,1,0,3,0,0,1,0,0.040000000000000036,2.0999999999999996,0.028000000000000025,-0.9000000000000004,4,0.0,25000,25000
38,34.0,-6.288,-3.78,12.0,-0.2,-4.1,1,0,1,0,0,1,0,2,0,0,1,0,0.028999999999999915,1.8,-0.4509999999999996,-0.8999999999999995,3,0.0,25000,25000
